ID;M(R);M(G);M(B);DP(R);DP(G);DP(B)
54;126;109;82;3.6097125771604937;2.4916087962962963;2.1752507716049383
55;160;131;87;2.9576099537037037;2.829619984567901;2.4542341820987654
56;149;116;81;3.162663966049383;2.4951774691358026;2.6801697530864197
57;97;97;49;2.4439621913580245;2.2463831018518516;2.076630015432099
58;60;79;32;1.7565104166666667;1.6181520061728396;1.5432581018518519
59;54;76;32;1.5495756172839505;1.4776234567901234;1.5326485339506173
60;48;77;29;1.3356481481481481;1.2687596450617284;1.351466049382716
61;76;90;37;2.3423996913580245;2.4765625;1.939380787037037
62;39;67;31;1.769434799382716;2.1158371913580245;1.7742091049382716
63;31;49;23;1.603105709876543;1.8005883487654322;1.4972993827160495
64;52;51;25;2.0864197530864197;1.802324459876543;1.5660686728395061
65;89;67;45;2.7567515432098766;2.2024980709876543;1.9674961419753085
66;95;69;50;3.1415895061728394;2.492283950617284;2.1045524691358026
67;88;60;46;2.8525270061728394;2.3619309413580245;1.882908950617284
68;120;76;55;3.1789641203703702;2.4674961419753085;2.0673707561728394
69;97;59;52;3.140721450617284;2.3434606481481484;1.9280960648148149
70;106;66;54;3.095727237654321;2.3232060185185186;1.9392361111111112
71;117;71;60;2.759548611111111;2.183641975308642;2.0824652777777777
72;101;91;79;2.35961612654321;2.1966145833333335;2.1959876543209877
73;108;104;88;2.65649112654321;2.4370177469135803;2.2620081018518516
74;146;126;104;3.3384934413580245;2.3468846450617282;2.353973765432099
75;163;160;72;2.8285108024691357;2.649836033950617;2.4801793981481484
76;110;132;45;2.6129436728395063;2.533468364197531;2.1645929783950617
77;86;109;42;2.169753086419753;2.0573881172839505;1.9243827160493827
78;57;81;32;1.6977719907407407;1.5613425925925926;1.5066068672839505
79;44;73;31;1.3159239969135803;1.394579475308642;1.4886670524691359
80;46;66;29;1.1887538580246915;1.293065200617284;1.3425443672839505
81;104;96;46;2.9609375;2.6493537808641974;2.1241319444444446
82;55;63;31;1.9840374228395061;2.0108506944444446;1.7702546296296295
83;76;81;32;2.5519868827160495;2.3232542438271606;1.8414351851851851
84;54;56;26;2.274884259259259;1.8875385802469136;1.6364293981481481
85;50;49;24;1.8837287808641976;1.5710358796296295;1.6124614197530864
86;72;58;38;2.240017361111111;1.5850694444444444;2.1120273919753085
87;103;68;54;2.960792824074074;2.1119791666666665;1.9363425925925926
88;116;75;61;3.14038387345679;2.333670910493827;1.8154899691358024
89;99;62;54;2.500819830246914;1.7641300154320987;1.665991512345679
90;95;58;52;2.893084490740741;2.0745081018518516;1.8078221450617284
91;116;74;65;3.42211612654321;2.6141493055555554;2.2897376543209877
92;148;83;62;3.367139274691358;2.5163001543209877;1.9780574845679013
93;135;81;59;2.985821759259259;2.2643711419753085;1.8409529320987654
94;155;111;72;3.6359953703703702;2.956838348765432;2.451726466049383
95;170;161;64;2.971257716049383;2.6998456790123457;2.5362172067901234
96;127;153;50;2.518036265432099;2.3046875;2.1481481481481484
97;81;112;43;2.1009355709876543;2.0309124228395063;1.8362268518518519
98;49;76;27;1.380931712962963;1.3403742283950617;1.2697723765432098
99;48;67;29;1.1614583333333333;1.3647762345679013;1.2863136574074074
100;66;59;58;1.5466338734567902;1.4641203703703705;1.6551890432098766
101;109;109;28;2.892071759259259;2.967013888888889;1.8303915895061729
102;84;85;30;2.494550540123457;2.3016975308641974;1.8826678240740742
103;80;80;30;2.5129243827160495;2.095630787037037;1.7275270061728396
104;73;66;30;2.308738425925926;1.7423804012345678;1.6013213734567902
105;73;58;32;2.064380787037037;1.6716338734567902;1.642698688271605
106;101;77;43;2.8626060956790123;2.31225887345679;1.8855131172839505
107;116;82;51;3.0551215277777777;2.543788580246914;2.2620563271604937
108;126;90;50;3.1441936728395063;2.4323881172839505;2.362461419753086
109;118;84;42;3.027536651234568;2.5660686728395063;1.8658854166666667
110;116;76;54;3.2432966820987654;2.445216049382716;1.7341338734567902
111;143;88;60;3.0830922067901234;2.421778549382716;1.7921489197530864
112;159;104;66;3.20288387345679;2.6646894290123457;2.224054783950617
113;134;99;59;3.521797839506173;2.7152777777777777;2.3446180555555554
114;117;119;38;2.514130015432099;2.53125;1.9780092592592593
115;168;166;76;3.076003086419753;2.8410976080246915;2.6432291666666665
116;131;158;51;2.6174768518518516;2.412567515432099;2.132667824074074
117;73;105;42;1.908323688271605;1.9639756944444444;1.7340374228395061
118;52;68;33;1.298900462962963;1.638261959876543;1.3053626543209877
119;62;53;49;1.4936824845679013;1.4333526234567902;1.390576774691358
120;52;48;62;0.7184124228395061;0.6397087191358025;0.8324652777777778
121;77;92;23;2.3348283179012346;2.309413580246914;1.525414737654321
122;69;83;24;2.4191261574074074;2.32397762345679;1.447145061728395
123;47;65;22;1.7056327160493827;1.8668981481481481;1.3680073302469136
124;41;60;19;1.5270061728395061;1.5667920524691359;1.2867959104938271
125;50;62;17;1.5270543981481481;1.7018229166666667;1.242091049382716
126;73;75;22;1.9909336419753085;1.9230324074074074;1.470775462962963
127;65;54;23;1.8844039351851851;1.744020061728395;1.3391685956790123
128;84;60;33;2.3715760030864197;1.8677179783950617;1.4111207561728396
129;120;79;43;3.0398341049382718;2.5244984567901234;1.7876639660493827
130;146;87;60;2.9346064814814814;2.1829185956790123;1.885175540123457
131;129;91;64;2.93774112654321;2.4309413580246915;1.982397762345679
132;71;71;41;1.8656925154320987;2.056375385802469;1.478491512345679
133;83;92;38;2.4365354938271606;2.3548418209876543;1.4832658179012346
134;144;161;37;2.353202160493827;2.124807098765432;1.8024209104938271
135;147;162;56;2.700858410493827;2.3011670524691357;2.0944251543209877
136;163;178;61;2.864776234567901;2.345196759259259;2.208622685185185
137;109;115;71;2.2428144290123457;2.2649498456790123;2.0461033950617282
138;58;50;57;1.5179398148148149;1.2732445987654322;1.1812789351851851
139;47;41;52;0.8741801697530864;0.7483121141975309;0.7881944444444444
140;50;47;62;0.8054108796296297;0.7869405864197531;0.7032214506172839
141;55;96;23;2.125192901234568;2.652440200617284;1.5753279320987654
142;53;88;25;1.861304012345679;2.233555169753086;1.515528549382716
143;52;71;21;1.800829475308642;1.996190200617284;1.4089023919753085
144;59;67;24;1.956983024691358;1.9679301697530864;1.3298611111111112
145;70;81;26;2.121286651234568;2.2901234567901234;1.5055459104938271
146;51;68;19;1.6942033179012346;1.845679012345679;1.2724247685185186
147;65;65;22;1.9908854166666667;1.9871720679012346;1.4166184413580247
148;83;65;33;2.369116512345679;2.14477237654321;1.5260416666666667
149;111;89;40;3.1433256172839505;2.435329861111111;1.8039641203703705
150;148;126;70;3.0498167438271606;2.9034529320987654;2.599103009259259
151;155;163;59;3.2768132716049383;2.831934799382716;2.1125096450617282
152;69;91;41;1.5590277777777777;1.5227141203703705;1.363233024691358
153;86;100;37;2.1260127314814814;1.9905960648148149;1.3177083333333333
154;170;169;64;2.434992283950617;2.279513888888889;2.0863233024691357
155;146;134;77;2.6141975308641974;2.796875;1.7650945216049383
156;160;125;107;2.767795138888889;2.2762827932098766;2.3111496913580245
157;108;89;97;1.937451774691358;1.6362364969135803;1.5394483024691359
158;46;43;54;0.9965760030864198;0.8371913580246914;0.8898051697530864
159;52;45;55;0.8802565586419753;0.7577160493827161;0.7275752314814815
160;52;50;63;0.8206018518518519;0.6078317901234568;0.6979648919753086
161;48;81;20;1.9850983796296295;2.279224537037037;1.4897280092592593
162;66;103;27;2.1061439043209877;2.4609375;1.6168016975308641
163;50;71;24;1.8409529320987654;1.9912712191358024;1.3569637345679013
164;81;101;33;2.711033950617284;2.900462962962963;1.8138020833333333
165;76;93;30;2.3117283950617282;2.56274112654321;1.5381944444444444
166;65;89;23;2.013503086419753;2.173321759259259;1.5071855709876543
167;94;103;28;2.761670524691358;2.8253279320987654;1.7932098765432098
168;111;120;39;3.384982638888889;2.833670910493827;2.005883487654321
169;86;98;48;2.6724054783950617;2.171826774691358;1.6216724537037037
170;129;126;86;3.179880401234568;3.072241512345679;2.259886188271605
171;157;159;87;3.105613425925926;2.708863811728395;2.400414737654321
172;76;70;53;1.6881751543209877;1.8662229938271604;1.1882233796296295
173;62;50;51;1.2690007716049383;0.9624807098765432;0.8805941358024691
174;129;91;83;1.9270351080246915;1.4184027777777777;1.2320601851851851
175;111;85;88;1.9704378858024691;1.4384645061728396;1.2102623456790123
176;144;112;113;2.898582175925926;2.329668209876543;2.017216435185185
177;104;88;94;2.189236111111111;1.8668016975308641;1.835985725308642
178;44;41;52;0.8665123456790124;0.7903163580246914;0.6853298611111112
179;51;45;56;0.9426118827160493;0.6973861882716049;0.8322723765432098
180;48;47;63;0.7373167438271605;0.6826774691358025;0.6589023919753086
181;54;87;26;2.212432484567901;2.3978587962962963;1.6392264660493827
182;62;102;32;2.5007233796296298;2.6676793981481484;1.7145543981481481
183;33;61;25;1.3122106481481481;1.599681712962963;1.2465760030864197
184;84;105;35;2.892361111111111;2.967013888888889;1.8348765432098766
185;74;90;31;2.5245949074074074;2.5812596450617282;1.5255594135802468
186;78;97;30;2.568721064814815;2.742380401234568;1.58203125
187;61;70;25;2.107783564814815;2.072000385802469;1.5656346450617284
188;55;77;45;1.6574556327160495;1.8842592592592593;1.8003472222222223
189;77;101;72;1.9993730709876543;1.9360050154320987;1.6241801697530864
190;128;133;113;2.2801890432098766;2.3424961419753085;2.4245756172839505
191;161;138;141;2.630353009259259;2.400462962962963;2.4231770833333335
192;76;61;62;1.7445023148148149;1.3294753086419753;1.1629050925925926
193;67;56;57;1.4807098765432098;1.1104359567901234;0.9568865740740741
194;136;103;98;1.614824459876543;1.3715760030864197;1.2607542438271604
195;118;96;100;2.017843364197531;1.5400752314814814;1.3416280864197532
196;150;121;123;2.8743248456790123;2.271219135802469;1.9451195987654322
197;107;95;104;2.361496913580247;2.0183738425925926;1.9327739197530864
198;60;57;66;1.447145061728395;1.4525945216049383;1.4014274691358024
199;76;71;81;1.8657889660493827;1.8352141203703705;1.7942226080246915
200;82;81;93;2.3713831018518516;2.4028742283950617;2.3385416666666665
201;44;86;29;2.0739293981481484;2.4518229166666665;1.5763888888888888
202;41;80;26;1.8933256172839505;2.216820987654321;1.3836323302469136
203;72;100;22;2.366367669753086;2.52367862654321;1.5598476080246915
204;88;120;24;2.574315200617284;2.6945408950617282;1.634886188271605
205;93;112;27;2.9375;3.103636188271605;1.5922550154320987
206;78;97;25;2.2956211419753085;2.451437114197531;1.4833140432098766
207;91;103;31;2.980275848765432;2.9955632716049383;1.830005787037037
208;81;104;49;2.255883487654321;2.369646990740741;1.6910204475308641
209;61;86;62;1.4781539351851851;1.6168016975308641;1.4672550154320987
210;95;110;103;1.9643614969135803;1.9520158179012346;2.3385898919753085
211;139;124;134;2.8700327932098766;2.5078125;2.299189814814815
212;74;62;63;1.3994984567901234;1.1564429012345678;1.0108024691358024
213;68;58;59;1.2576678240740742;0.9888117283950617;0.8798225308641975
214;135;108;105;1.5908564814814814;1.4153163580246915;1.3627025462962963
215;114;97;103;1.7445023148148149;1.4846161265432098;1.3174672067901234
216;141;118;122;2.4526909722222223;2.115017361111111;1.9514371141975309
217;106;93;103;2.4637345679012346;2.187644675925926;2.1332465277777777
218;56;51;60;1.2564139660493827;1.1401909722222223;1.0973668981481481
219;74;70;81;1.9208140432098766;1.8478491512345678;1.7919560185185186
220;80;78;91;2.1865354938271606;2.181809413580247;2.1139564043209877
221;64;114;25;2.0890721450617282;2.4605034722222223;1.5909047067901234
222;56;89;22;2.3401813271604937;2.658516589506173;1.490306712962963
223;37;62;19;1.8767843364197532;1.9895351080246915;1.3655478395061729
224;64;90;23;2.6100501543209877;2.6690779320987654;1.5588831018518519
225;55;77;24;2.295283564814815;2.3152970679012346;1.4808063271604939
226;55;76;25;2.273341049382716;2.236641589506173;1.5226658950617284
